id,city,p_type,subtype,price,nb_bedrooms,living_area,kitchen_type,furnished,open_fire,terrace,garden,land_surface,plot_surface,building_state,facades,swim_pool,zip_code,year_of_construction,geolocation,province
20501253,temse,apartment,apartment,149000,2,86,0,0,0,0,0,0,0,TO_BE_DONE_UP,0,0,9140,1992,"4.2056382,51.1265423",East Flanders
20539122,ch%C3%82telet,house,house,230000,2,87,semi_equipped,0,0,0,0,1177,1177,GOOD,3,0,6200,0,"4.5215876,50.3883253",Hainaut
10977780,knokke heist,apartment,apartment,1625000,3,113,0,0,0,0,0,0,0,AS_NEW,0,0,8300,1948,"3.2788009,51.3441427",West Flanders
20539119,aalst%20%289300%29,apartment,apartment,298500,2,90,installed,0,0,0,0,0,0,AS_NEW,0,0,9300,2014,"4.0255014,50.943751",East Flanders
20539114,kluisbergen,house,house,185000,2,86,0,0,0,0,0,140,140,0,2,0,9690,0,"3.5125231,50.7894465",East Flanders
20326118,oostende,apartment,apartment,229000,2,,0,1,0,0,0,0,0,GOOD,0,0,8400,2007,"2.9075928,51.2139249",West Flanders
11129505,knokke,apartment,apartment,1625000,3,,0,0,0,0,0,0,0,0,0,0,8300,1948,0,West Flanders
20423594,knokke heist,house,house,695000,3,155,hyper_equipped,0,0,0,0,208,208,JUST_RENOVATED,0,0,8300,2003,"3.3028286,51.3126362",West Flanders
20539106,hoegaarden,apartment,apartment,215000,1,55,installed,0,0,0,0,0,0,0,0,0,3320,2021,"4.8685676,50.7806488",Flemish Brabant
20539103,bruxelles,apartment,apartment,750000,3,215,0,0,0,0,0,0,0,0,3,0,1000,1928,"4.3843648,50.8100492",Brussels
20539098,koekelare,house,house,249000,3,155,0,0,0,0,0,603,603,0,0,0,8680,1970,"2.9922863,51.0910577",West Flanders
20539097,anderlecht,house,house,395000,3,175,semi_equipped,0,0,0,0,154,154,TO_BE_DONE_UP,2,0,1070,1949,"4.3061192,50.8377049",Brussels
20539091,aartselaar,other,town_house,415000,3,162,hyper_equipped,0,0,0,0,227,227,JUST_RENOVATED,2,0,2630,1968,"4.3763819,51.1146988",Antwerp
20539096,sint idesbald,apartment,apartment,349000,2,60,0,0,0,0,0,0,0,GOOD,0,0,8670,2017,"2.6152013,51.1127124",West Flanders
20539088,diepenbeek,apartment,apartment,320000,2,108,0,0,0,0,0,0,0,0,0,0,3590,2025,"5.4211138,50.9114048",Limburg
20539087,diepenbeek,apartment,apartment,302000,2,94,0,0,0,0,0,0,0,0,0,0,3590,2025,"5.4211138,50.9114048",Limburg
20539090,diepenbeek,apartment,apartment,305000,2,98,0,0,0,0,0,0,0,0,0,0,3590,2025,"5.4211138,50.9114048",Limburg
20539086,diepenbeek,apartment,apartment,300000,2,94,0,0,0,0,0,0,0,0,0,0,3590,2025,"5.4211138,50.9114048",Limburg
20539092,diepenbeek,apartment,apartment,257000,2,77,0,0,0,0,0,0,0,0,0,0,3590,2025,"5.4211138,50.9114048",Limburg
11451556,oostende,apartment,apartment,250000,3,91,installed,0,0,0,0,0,0,GOOD,0,0,8400,1998,"2.9198544,51.228882",West Flanders
20539078,gent,apartment,penthouse,385000,2,81,0,0,0,0,0,0,0,GOOD,0,0,9000,0,"3.7311377,51.0317913",East Flanders
20539073,de%20panne,apartment,penthouse,159000,1,34,0,1,0,0,0,0,0,GOOD,0,0,8660,1978,"2.5936446,51.1041521",West Flanders
20368739,schelle,house,house,399000,3,181,0,0,0,0,0,292,292,GOOD,0,0,2627,1994,"4.338444,51.1176307",Antwerp
20539072,koksijde,apartment,duplex,269000,3,106,0,1,0,0,0,0,0,GOOD,0,0,8670,1967,"2.632179,51.1193241",West Flanders
20539067,blankenberge,other,apartment_block,595000,5,167,installed,0,0,0,0,151,151,GOOD,2,0,8370,1950,"3.1356902,51.313515",West Flanders
20541191,oostende,apartment,apartment,179000,2,74,hyper_equipped,0,0,0,0,0,0,GOOD,0,0,8400,1964,"2.8866712,51.2192112",West Flanders
20542990,gent,apartment,apartment,269000,3,82,installed,0,0,0,0,0,0,AS_NEW,0,0,9000,1966,"3.7389746,51.0692487",East Flanders
20422785,herstal,house,house,189000,2,121,installed,0,0,0,0,270,270,GOOD,3,0,4040,1899,"5.6312788,50.662615",Liège
20541867,braine lalleud,apartment,apartment,375000,2,112,0,0,0,0,0,0,0,GOOD,4,0,1420,2024,"4.3759657,50.6822689",Walloon Brabant
20491553,tremelo,house,house,305000,3,185,semi_equipped,0,0,0,0,500,500,TO_RENOVATE,0,0,3120,1956,"4.7063871,50.9954412",Flemish Brabant
20541868,braine lalleud,apartment,apartment,395000,2,110,0,0,0,0,0,0,0,GOOD,4,0,1420,2024,"4.3759657,50.6822689",Walloon Brabant
20541958,braine lalleud,apartment,apartment,435000,3,138,0,0,0,0,0,0,0,GOOD,4,0,1420,2024,"4.3759657,50.6822689",Walloon Brabant
20540805,uccle,apartment,apartment,445000,2,115,hyper_equipped,0,0,0,0,0,0,GOOD,2,0,1180,2007,0,Brussels
20543486,antwerpen,apartment,apartment,595000,3,218,installed,0,0,0,0,0,0,GOOD,2,0,2018,0,"4.4183382,51.2085052",Antwerp
20492299,wemmel,other,apartment_block,649900,6,220,semi_equipped,0,0,0,0,268,268,JUST_RENOVATED,2,0,1780,1968,"4.3144481,50.8938203",Flemish Brabant
20354552,gavere,apartment,apartment,179000,2,70,0,0,0,0,0,0,0,GOOD,2,0,9890,2008,"3.6616973,50.9284083",East Flanders
20505651,dendermonde,apartment,apartment,164900,1,59,installed,0,0,0,0,0,0,GOOD,2,0,9200,1971,"4.107798,51.031823",East Flanders
20505387,arlon,apartment,apartment,335000,2,90,usa_hyper_equipped,0,0,0,0,0,0,AS_NEW,3,0,6700,2024,"5.7614448,49.6867539",Luxembourg
20505810,turnhout,apartment,apartment,399000,2,150,semi_equipped,0,0,0,0,0,0,AS_NEW,2,0,2300,1960,"4.9348947,51.3273856",Antwerp
20504136,turnhout,apartment,apartment,429000,3,251,semi_equipped,0,0,0,0,0,0,GOOD,3,0,2300,1999,"4.9516228,51.3260609",Antwerp
20544014,deinze astene,house,house,456000,4,217,hyper_equipped,0,0,0,0,275,275,AS_NEW,3,0,9800,2025,"3.5859545,50.9851287",East Flanders
20517881,haasrode,apartment,apartment,380000,1,81,installed,0,0,0,0,0,0,GOOD,0,0,3053,2024,"4.7267119,50.8344076",Flemish Brabant
